nominal,data,curs,cdx
1,1/1/16,72.9299,Доллар США
1,1/12/16,75.9507,Доллар США
1,1/13/16,76.6041,Доллар США
1,1/14/16,76.4275,Доллар США
1,1/15/16,76.5230,Доллар США
1,1/16/16,76.5650,Доллар США
1,1/19/16,78.6678,Доллар США
1,1/20/16,78.4862,Доллар США
1,1/21/16,79.4614,Доллар США
1,1/22/16,83.5913,Доллар США
1,1/23/16,80.5714,Доллар США
1,1/26/16,77.7965,Доллар США
1,1/27/16,81.8394,Доллар США
1,1/28/16,78.9969,Доллар США
1,1/29/16,77.3674,Доллар США
1,1/30/16,75.1723,Доллар США
1,2/2/16,76.3264,Доллар США
1,2/3/16,77.9273,Доллар США
1,2/4/16,79.2593,Доллар США
1,2/5/16,76.4609,Доллар США
1,2/6/16,77.3409,Доллар США
1,2/9/16,76.8614,Доллар США
1,2/10/16,78.6805,Доллар США
1,2/11/16,79.0689,Доллар США
1,2/12/16,79.1144,Доллар США
1,2/13/16,79.4951,Доллар США
1,2/16/16,77.7792,Доллар США
1,2/17/16,76.2450,Доллар США
1,2/18/16,77.8503,Доллар США
1,2/19/16,75.4575,Доллар США
1,2/20/16,76.3657,Доллар США
1,2/21/16,77.1326,Доллар США
1,2/25/16,76.3928,Доллар США
1,2/26/16,76.3929,Доллар США
1,2/27/16,75.0903,Доллар США
1,3/1/16,75.8994,Доллар США
1,3/2/16,74.0536,Доллар США
1,3/3/16,73.6256,Доллар США
1,3/4/16,73.8242,Доллар США
1,3/5/16,73.1854,Доллар США
1,3/10/16,72.3775,Доллар США
1,3/11/16,71.0928,Доллар США
1,3/12/16,70.3067,Доллар США
1,3/15/16,70.1542,Доллар США
1,3/16/16,70.5408,Доллар США
1,3/17/16,71.0256,Доллар США
1,3/18/16,68.5598,Доллар США
1,3/19/16,68.4026,Доллар США
1,3/22/16,68.8086,Доллар США
1,3/23/16,67.7764,Доллар США
1,3/24/16,67.6409,Доллар США
1,3/25/16,68.9328,Доллар США
1,3/26/16,68.4346,Доллар США
1,3/29/16,67.7807,Доллар США
